building_id,n_obs,coverage,pct_missing,mean_load,std_load,min_load,max_load,n_zeros,primary_use,site_id,sqm,timezone,site_airtemp_coverage
Shrew_office_Sherill,17544,1.0,0.0,163.78,172.55,0.0,625.5,8160,Office,Shrew,18098.0,Europe/London,0.9999429093400319
Shrew_office_Kenneth,17544,1.0,0.0,15.25,17.22,0.0,91.6,8184,Office,Shrew,1719.0,Europe/London,0.9999429093400319
Shrew_office_Rose,17544,1.0,0.0,6.56,5.93,0.0,29.8,6677,Office,Shrew,1058.0,Europe/London,0.9999429093400319
Mouse_lodging_Vicente,17544,1.0,0.0,41.45,18.78,0.0,100.0,1656,Lodging/residential,Mouse,3489.0,Europe/London,0.9999429093400319
Shrew_office_Doris,17544,1.0,0.0,104.89,105.53,0.0,375.9,8160,Office,Shrew,22568.9,Europe/London,0.9999429093400319
Shrew_office_Doug,17544,1.0,0.0,40.29,39.73,0.0,123.6,8193,Office,Shrew,5630.0,Europe/London,0.9999429093400319
Shrew_office_Ila,17544,1.0,0.0,79.59,79.84,0.0,294.5,8160,Office,Shrew,10905.0,Europe/London,0.9999429093400319
Shrew_office_Katherine,17544,1.0,0.0,29.81,29.26,0.0,107.9,8184,Office,Shrew,3410.0,Europe/London,0.9999429093400319
Shrew_office_Nora,17544,1.0,0.0,95.59,102.12,0.0,393.1,8160,Office,Shrew,10203.0,Europe/London,0.9999429093400319
Lamb_education_Rodrigo,17544,1.0,0.0,34.44,29.27,0.0,122.01,15,Education,Lamb,6149.0,Europe/London,0.9998857142857143
Shrew_office_Lin,17544,1.0,0.0,201.0,199.04,0.0,695.2,8162,Office,Shrew,13995.0,Europe/London,0.9999429093400319
Lamb_public_Gracie,17544,1.0,0.0,2.98,3.02,0.0,13.1,71,Public services,Lamb,915.0,Europe/London,0.9998857142857143
Lamb_education_Isabelle,17544,1.0,0.0,11.93,14.27,0.0,67.0,46,Education,Lamb,2253.0,Europe/London,0.9998857142857143
Lamb_other_Minerva,17544,1.0,0.0,8.38,8.11,0.0,44.1,1126,Other,Lamb,522.0,Europe/London,0.9998857142857143
Lamb_education_Gabriel,17544,1.0,0.0,7.07,9.09,0.0,39.0,47,Education,Lamb,2193.0,Europe/London,0.9998857142857143
Lamb_office_Velma,17544,1.0,0.0,91.11,59.48,0.0,272.3,2,Office,Lamb,14165.0,Europe/London,0.9998857142857143
Lamb_assembly_Cherie,17544,1.0,0.0,55.08,44.7,0.0,146.6,0,Entertainment/public assembly,Lamb,4392.0,Europe/London,0.9998857142857143
Robin_education_Zenia,17544,1.0,0.0,200.97,52.76,52.25,466.2,0,Education,Robin,6337.0,Europe/London,0.9999429093400319
Robin_public_Carolina,17544,1.0,0.0,140.34,37.8,22.64,268.87,0,Public services,Robin,10984.0,Europe/London,0.9999429093400319
Lamb_assembly_Dorothy,17544,1.0,0.0,38.86,29.6,0.01,134.38,0,Entertainment/public assembly,Lamb,5960.0,Europe/London,0.9998857142857143
Lamb_industrial_Carla,17544,1.0,0.0,127.83,106.1,0.0,386.3,0,Manufacturing/industrial,Lamb,8426.0,Europe/London,0.9998857142857143
Eagle_assembly_Noel,17544,1.0,0.0,0.0,0.0,0.0,0.0,17544,Entertainment/public assembly,Eagle,3972.1,US/Eastern,0.9998289233576643
Eagle_education_Brianne,17544,1.0,0.0,401.13,127.24,0.0,785.0,872,Education,Eagle,6857.4,US/Eastern,0.9998289233576643
Eagle_lodging_Andy,17544,1.0,0.0,54.75,16.68,0.0,109.06,73,Lodging/residential,Eagle,6205.4,US/Eastern,0.9998289233576643
Lamb_assembly_Theresa,17544,1.0,0.0,2.69,2.75,0.0,12.8,1102,Entertainment/public assembly,Lamb,990.0,Europe/London,0.9998857142857143
Lamb_warehouse_Allan,17544,1.0,0.0,12.76,10.93,0.0,46.5,1077,Warehouse/storage,Lamb,1457.0,Europe/London,0.9998857142857143
Robin_office_Gayle,17544,1.0,0.0,59.11,22.16,9.75,138.25,0,Office,Robin,4161.0,Europe/London,0.9999429093400319
Eagle_lodging_Blake,17544,1.0,0.0,13.56,11.82,0.0,60.87,5406,Lodging/residential,Eagle,3512.0,US/Eastern,0.9998289233576643
Lamb_public_Nyla,17544,1.0,0.0,3.48,3.88,0.0,14.3,1101,Public services,Lamb,657.0,Europe/London,0.9998857142857143
Robin_office_Lindsay,17544,1.0,0.0,45.64,30.29,3.94,134.88,0,Office,Robin,5358.0,Europe/London,0.9999429093400319
Eagle_lodging_Trina,17544,1.0,0.0,46.8,15.11,0.0,100.1,179,Lodging/residential,Eagle,5320.9,US/Eastern,0.9998289233576643
Lamb_education_Randal,17544,1.0,0.0,8.15,8.64,0.0,34.7,1099,Education,Lamb,2678.0,Europe/London,0.9998857142857143
Lamb_assembly_Corliss,17544,1.0,0.0,9.0,10.97,0.0,39.9,46,Entertainment/public assembly,Lamb,2887.0,Europe/London,0.9998857142857143
Lamb_industrial_Venessa,17544,1.0,0.0,6.32,4.6,0.0,20.22,45,Manufacturing/industrial,Lamb,588.0,Europe/London,0.9998857142857143
Lamb_office_Vasiliki,17544,1.0,0.0,302.71,198.68,0.0,909.8,43,Office,Lamb,25087.0,Europe/London,0.9998857142857143
Lamb_office_Callie,17544,1.0,0.0,3.38,2.46,0.0,9.85,45,Office,Lamb,689.0,Europe/London,0.9998857142857143
Hog_education_Donnie,17544,1.0,0.0,84.51,71.48,6.86,311.13,0,Education,Hog,6837.4,US/Central,0.9998859879147189
Hog_office_Alisha,17544,1.0,0.0,8.83,5.91,0.0,22.9,5003,Office,Hog,3103.1,US/Central,0.9998859879147189
Lamb_industrial_Willard,17544,1.0,0.0,1.85,1.31,0.0,4.0,1102,Manufacturing/industrial,Lamb,965.0,Europe/London,0.9998857142857143
Lamb_public_Bradly,17544,1.0,0.0,6.97,8.42,0.0,31.0,7269,Public services,Lamb,1892.0,Europe/London,0.9998857142857143
Lamb_education_Camille,17544,1.0,0.0,22.19,30.51,0.0,134.2,7240,Education,Lamb,6382.0,Europe/London,0.9998857142857143
Lamb_education_Emilie,17544,1.0,0.0,4.6,4.8,0.0,22.5,1122,Education,Lamb,1303.0,Europe/London,0.9998857142857143
Lamb_assembly_Eugenia,17544,1.0,0.0,4.19,4.8,0.0,24.3,6115,Entertainment/public assembly,Lamb,1187.0,Europe/London,0.9998857142857143
Lamb_health_Ken,17544,1.0,0.0,16.42,11.4,0.0,50.0,0,Healthcare,Lamb,1716.0,Europe/London,0.9998857142857143
