building_id,n_obs,coverage,pct_missing,mean_load,std_load,min_load,max_load,n_zeros,primary_use,site_id,sqm,timezone,site_airtemp_coverage
Hog_education_Josh,17544,1.0,0.0,133.4,80.5,0.0,426.93,2395,Education,Hog,5630.5,US/Central,0.9998859879147189
Robin_education_Karyl,17544,1.0,0.0,62.13,46.79,0.01,195.38,0,Education,Robin,2992.0,Europe/London,0.9999429093400319
Robin_office_Victor,17544,1.0,0.0,53.4,20.07,8.03,117.29,0,Office,Robin,3724.0,Europe/London,0.9999429093400319
Lamb_education_Emilie,17544,1.0,0.0,4.6,4.8,0.0,22.5,1122,Education,Lamb,1303.0,Europe/London,0.9998857142857143
Lamb_education_Camille,17544,1.0,0.0,22.19,30.51,0.0,134.2,7240,Education,Lamb,6382.0,Europe/London,0.9998857142857143
Hog_office_Alisha,17544,1.0,0.0,8.83,5.91,0.0,22.9,5003,Office,Hog,3103.1,US/Central,0.9998859879147189
Hog_office_Bill,17544,1.0,0.0,290.85,95.28,85.28,595.9,0,Office,Hog,13375.5,US/Central,0.9998859879147189
Hog_office_Gustavo,17544,1.0,0.0,531.27,357.85,19.34,1205.45,0,Office,Hog,6582.4,US/Central,0.9998859879147189
Robin_office_Zelma,17544,1.0,0.0,109.96,33.44,29.7,204.5,0,Office,Robin,7607.0,Europe/London,0.9999429093400319
Hog_office_Merilyn,17544,1.0,0.0,30.2,8.7,9.09,59.5,0,Office,Hog,3446.3,US/Central,0.9998859879147189
Robin_office_Wai,17544,1.0,0.0,166.28,103.84,0.0,497.7,44,Office,Robin,16221.0,Europe/London,0.9999429093400319
Lamb_office_Callie,17544,1.0,0.0,3.38,2.46,0.0,9.85,45,Office,Lamb,689.0,Europe/London,0.9998857142857143
Lamb_office_Vasiliki,17544,1.0,0.0,302.71,198.68,0.0,909.8,43,Office,Lamb,25087.0,Europe/London,0.9998857142857143
Lamb_education_Randal,17544,1.0,0.0,8.15,8.64,0.0,34.7,1099,Education,Lamb,2678.0,Europe/London,0.9998857142857143
Hog_education_Donnie,17544,1.0,0.0,84.51,71.48,6.86,311.13,0,Education,Hog,6837.4,US/Central,0.9998859879147189
Robin_office_Lindsay,17544,1.0,0.0,45.64,30.29,3.94,134.88,0,Office,Robin,5358.0,Europe/London,0.9999429093400319
Robin_education_Kiera,17544,1.0,0.0,77.96,29.89,11.41,176.5,0,Education,Robin,4703.0,Europe/London,0.9999429093400319
Hog_office_Miriam,17544,1.0,0.0,23.05,7.24,6.97,44.41,0,Office,Hog,1418.5,US/Central,0.9998859879147189
Robin_office_Sammie,17544,1.0,0.0,82.35,24.11,23.5,162.2,0,Office,Robin,4802.0,Europe/London,0.9999429093400319
Hog_education_Rachael,17544,1.0,0.0,74.88,24.39,21.18,170.82,0,Education,Hog,3715.0,US/Central,0.9998859879147189
Lamb_education_Maritza,17544,1.0,0.0,5.76,4.71,0.0,22.7,1099,Education,Lamb,2815.0,Europe/London,0.9998857142857143
Eagle_office_Mable,17544,1.0,0.0,15.88,4.93,0.0,32.48,125,Office,Eagle,2568.4,US/Eastern,0.9998289233576643
Lamb_office_Stefani,17544,1.0,0.0,10.48,8.89,0.0,35.81,68,Office,Lamb,1063.0,Europe/London,0.9998857142857143
Moose_education_Ricardo,17544,1.0,0.0,308.89,57.75,202.08,462.24,0,Education,Moose,14000.0,US/Eastern,1.0
Hog_education_Cathleen,17544,1.0,0.0,382.71,253.72,0.0,951.0,5176,Education,Hog,14440.7,US/Central,0.9998859879147189
Shrew_office_Lin,17544,1.0,0.0,201.0,199.04,0.0,695.2,8162,Office,Shrew,13995.0,Europe/London,0.9999429093400319
Lamb_education_Rodrigo,17544,1.0,0.0,34.44,29.27,0.0,122.01,15,Education,Lamb,6149.0,Europe/London,0.9998857142857143
Shrew_office_Nora,17544,1.0,0.0,95.59,102.12,0.0,393.1,8160,Office,Shrew,10203.0,Europe/London,0.9999429093400319
Shrew_office_Katherine,17544,1.0,0.0,29.81,29.26,0.0,107.9,8184,Office,Shrew,3410.0,Europe/London,0.9999429093400319
Shrew_office_Ila,17544,1.0,0.0,79.59,79.84,0.0,294.5,8160,Office,Shrew,10905.0,Europe/London,0.9999429093400319
Shrew_office_Doug,17544,1.0,0.0,40.29,39.73,0.0,123.6,8193,Office,Shrew,5630.0,Europe/London,0.9999429093400319
Shrew_office_Doris,17544,1.0,0.0,104.89,105.53,0.0,375.9,8160,Office,Shrew,22568.9,Europe/London,0.9999429093400319
Shrew_office_Rose,17544,1.0,0.0,6.56,5.93,0.0,29.8,6677,Office,Shrew,1058.0,Europe/London,0.9999429093400319
Shrew_office_Kenneth,17544,1.0,0.0,15.25,17.22,0.0,91.6,8184,Office,Shrew,1719.0,Europe/London,0.9999429093400319
Shrew_office_Sherill,17544,1.0,0.0,163.78,172.55,0.0,625.5,8160,Office,Shrew,18098.0,Europe/London,0.9999429093400319
Robin_office_Gayle,17544,1.0,0.0,59.11,22.16,9.75,138.25,0,Office,Robin,4161.0,Europe/London,0.9999429093400319
Eagle_education_Brianne,17544,1.0,0.0,401.13,127.24,0.0,785.0,872,Education,Eagle,6857.4,US/Eastern,0.9998289233576643
Robin_education_Zenia,17544,1.0,0.0,200.97,52.76,52.25,466.2,0,Education,Robin,6337.0,Europe/London,0.9999429093400319
Lamb_office_Velma,17544,1.0,0.0,91.11,59.48,0.0,272.3,2,Office,Lamb,14165.0,Europe/London,0.9998857142857143
Lamb_education_Gabriel,17544,1.0,0.0,7.07,9.09,0.0,39.0,47,Education,Lamb,2193.0,Europe/London,0.9998857142857143
Lamb_education_Isabelle,17544,1.0,0.0,11.93,14.27,0.0,67.0,46,Education,Lamb,2253.0,Europe/London,0.9998857142857143
Hog_education_Madge,17543,0.9999,0.01,89.8,24.93,28.36,158.11,0,Education,Hog,6786.0,US/Central,0.9998859879147189
Fox_office_Clayton,17543,0.9999,0.01,87.69,38.99,0.0,216.27,1,Office,Fox,488.5,US/Mountain,0.9999429972068631
Bear_education_Bob,17542,0.9999,0.01,128.57,49.56,68.56,268.9,0,Education,Bear,28360.3,US/Pacific,1.0
Fox_education_Rudolph,17542,0.9999,0.01,23.41,9.82,0.0,52.85,134,Education,Fox,2335.5,US/Mountain,0.9999429972068631
Fox_education_Delma,17543,0.9999,0.01,92.26,75.16,0.0,344.74,33,Education,Fox,9181.5,US/Mountain,0.9999429972068631
Fox_education_Ray,17543,0.9999,0.01,47.59,17.99,0.0,106.84,1,Education,Fox,1185.5,US/Mountain,0.9999429972068631
Robin_office_Adolph,17543,0.9999,0.01,27.08,6.92,6.0,51.62,0,Office,Robin,1321.0,Europe/London,0.9999429093400319
Wolf_education_Vivian,17543,0.9999,0.01,71.32,36.15,0.0,171.26,2,Education,Wolf,8770.0,Europe/Dublin,1.0
Wolf_education_Arnulfo,17543,0.9999,0.01,35.28,17.99,0.0,98.72,379,Education,Wolf,5184.0,Europe/Dublin,1.0
Robin_office_Shirlene,17543,0.9999,0.01,31.44,9.31,5.5,61.0,0,Office,Robin,4647.0,Europe/London,0.9999429093400319
Hog_office_Sydney,17542,0.9999,0.01,125.88,25.43,47.42,191.23,0,Office,Hog,8094.7,US/Central,0.9998859879147189
Fox_education_Kim,17543,0.9999,0.01,57.5,19.57,0.0,107.38,5,Education,Fox,5782.1,US/Mountain,0.9999429972068631
Fox_education_Tamika,17543,0.9999,0.01,150.73,49.24,0.0,339.44,7,Education,Fox,8339.9,US/Mountain,0.9999429972068631
Fox_education_Carleen,17543,0.9999,0.01,105.6,38.14,0.0,273.16,12,Education,Fox,6635.2,US/Mountain,0.9999429972068631
Fox_education_Ashli,17542,0.9999,0.01,28.94,11.12,0.0,56.53,2,Education,Fox,864.8,US/Mountain,0.9999429972068631
Wolf_education_Ursula,17542,0.9999,0.01,141.22,54.11,28.0,314.8,0,Education,Wolf,13998.0,Europe/Dublin,1.0
Bear_education_Iris,17542,0.9999,0.01,45.51,20.2,15.8,115.4,0,Education,Bear,5456.5,US/Pacific,1.0
Hog_office_Rolando,17543,0.9999,0.01,309.82,164.69,0.0,807.0,1,Office,Hog,18033.5,US/Central,0.9998859879147189
Lamb_education_Terina,17542,0.9999,0.01,83.12,72.17,0.0,316.6,25,Education,Lamb,14868.0,Europe/London,0.9998857142857143
